rank,GEP1,GEP2,GEP3,GEP4,GEP5,GEP6,GEP7,GEP8,GEP9,GEP10,GEP11,GEP12
1,RNASE6,LRRN3,LDLRAP1,PPP1R15A,LTK,FCGR3A,NRROS,LAPTM4B,GNG4,PFKFB2,SKA3,PRRG3
2,CCR9,SMURF2,AK5,GPR183,NCR3,PRSS23,RTP5,DUSP4,PTPN14,JCHAIN,TYMS,AL138963.3
3,RFLNB,CD101,NOSIP,LMNA,SLC4A10,FCRL6,LINC01307,FOXP3,UCA1,UGT3A2,PCLAF,LRRC75A
4,RNASET2,DAPK2,DSC1,AL136454.1,PRR5,CX3CR1,RAB32,IKZF4,HBS1L,PTCRA,NCAPH,SH3D19
5,ITM2A,CDH1,NELL2,FOSB,SCART1,LILRB1,TMEM163,TNIP3,KCNJ2,ATP6AP1L,RAD51AP1,AC010422.3
6,ELFN1,PCNT,USP53,NBEAL1,CXXC5,GZMB,PPM1H,ZC3H12C,AC008074.2,MFAP4,MYBL2,AC010761.1
7,TRAT1,AP1M1,VIPR1,ATP5MGL,RORC,FGFBP2,RTKN2,MIR3142HG,CREB3L3,BAHCC1,CDCA5,ATG10
8,SATB1,STK17A,CITED4,WDR74,FLT4,TTC38,CPNE7,TNFRSF1B,CACNA1C.AS2,CPA4,MKI67,FGF23
9,SIT1,FBLN2,LINC00402,ZNF90,PLXND1,ADGRG1,UBASH3B,BIRC3,CTTN,MYO7B,DSCC1,FAM126A
10,LZTFL1,ROBO1,SH3YL1,AC007952.4,SPCS3,FGR,RCBTB2,KIF26B,FZD3,MAP1A,CDC25A,PABPC3
11,CD40LG,PLXDC1,COL18A1,ARHGAP15,BLK,CMKLR1,FGD4,RBMS3,KCNG3,NEGR1,E2F2,AC015802.6
12,ADGRE1,MAN1C1,ABO,YPEL5,ITCH,NCR1,AC004585.1,NDNF,GCSAML,CEP70,KIF15,VPS53
13,TOX2,CPA5,LINC00861,FOS,CCR1,ZEB2,MME,M6PR,C11orf96,TLR7,ASF1B,PPT1
14,LRRN2,AC005332.6,NRCAM,FXYD1,ADAM12,CXCR2,CCDC50,CTLA4,SLC7A5,PIGZ,CLSPN,MAP3K12
15,ZBTB7B,CLEC2D,TCEA3,NACA2,KLRB1,GZMH,PRKAR2B,SMS,MINDY2,RGPD3,FAM111B,AC245140.2
16,SAT2,PECAM1,VSIG1,BTG2,CTSA,HLA.DRB5,PON2,LMCD1,NFATC1,GUCY1A1,PKMYT1,PTGER4
17,SYNJ2,ASIC1,SELL,SLC2A3,TMEM171,C1orf21,RGS18,SUOX,SHISA2,NOTCH3,CDT1,ZBTB20
18,STXBP2,COA1,TRABD2A,SAT1,GZMK,KIR3DL2,TRG.AS1,DNPH1,AL021154.1,ELFN2,CENPU,CYTIP
19,DLG4,FAM32A,APBA2,HNRNPA1P48,NR1D1,KLRD1,TRIM16,ZNF662,CENPV,NDST3,TK1,SENP5
20,CDH24,SPON1,DSEL,CD69,IL18R1,PTPN12,GAS6,LINC01480,YEATS2.AS1,PHLDB1,RRM2,CNTD1
21,ARHGAP31,ADAMTS10,AC090948.1,JUN,ARHGAP10,ITGAM,LMO2,ICA1,NR4A3,GAB2,SPC24,GPM6A
22,CAMK1D,ACTN1,IL6R,IER2,ME1,HLA.DPB1,GCSAM,IRF4,LYPD3,SLC8A1.AS1,DIAPH3,PAXBP1
23,MMRN1,CD248,CFAP97D2,KLF6,ERN1,JAZF1,HIPK2,NRIP1,FILIP1L,TNFAIP2,MCM10,AP003352.1
24,RGS12,CCR7,LDHB,EIF5AL1,LGALS3,HLA.DRB1,TMEM200A,LTA,MAPRE2,MZB1,GINS1,AC008040.5
25,EPHB6,SLC12A7,PRKCA,TNF,TNFSF14,PDGFD,TATDN3,EBI3,DPY19L3,PXYLP1,FOXM1,AP001267.1
26,OSBPL8,PAK1,SFRP5,ITGB1,CEBPD,TBX21,LAT2,LAYN,HOMER1,SERINC2,NCAPG,AC021224.1
27,HPGD,CD9,SLC7A8,TUBA1A,CFH,FUT11,HIP1,PTGIR,NR4A1,CCDC26,PBK,LPAR4
28,PLCH1,DIP2A,TAB2,SRSF7,FHL3,SPON2,CYP4F2,FAM69C,NCR3LG1,TSHR,TRIP13,WDR66
29,TRIM24,STAG3,RASGRP2,PPDPF,COL5A3,CEP78,BICC1,PTPN3,ATP9A,UMODL1,ZWINT,LENG9
30,LRRC4,CRTAM,EIF2S3,S100A11,COLQ,PATL2,TSPAN7,SQLE,CD82,ARPP21,SHCBP1,B3GAT2
31,FBLN5,CD8B2,NAP1L1,DBET,CCR6,LYN,TRDC,CACNB2,FRY,RAPGEF5,PLK4,NBPF15
32,BACH2,DBH.AS1,COX4I1,ATP2B1.AS1,CYP2E1,KLRF1,RAB37,PRICKLE1,SMIM10,LRRC28,CCNA2,KLF15
33,TFPI,CDK5R1,KLF9,PI16,PHACTR2,PTGDR,HS3ST3B1,WNT10A,BCL6,GALNT2,BIRC5,C1orf56
34,LINC02295,AC005332.3,RPL4,GDPD5,ODF2L,ENPP4,MPZL1,SNX9,FGFR1,NR5A1,CHEK1,BEST1
35,CD4,IGFBP5,NOP53,HSPA1B,P2RY14,SETBP1,SLC44A1,ATP1B1,ICOSLG,GPR162,OIP5,AC068888.1
36,STAT5A,BCL11A,UBALD2,JUND,CCR2,MYOM2,P2RX5,LRRC32,ZNF704,RUFY3,UBE2T,AC020978.5
37,PTP4A3,STMN3,RNF157,RGCC,FKBP11,FAM49A,ITGB2.AS1,CCL22,MSL2,STRA6,BUB1B,AC011466.1
38,NMT2,CHI3L2,FAM153A,SAMSN1,IL17RE,PRR5L,CD84,TRIB1,RUBCNL,KCNK17,EXO1,AC084756.1
39,EFNA1,SLC7A3,SNED1,Z93241.1,SSR3,PLOD1,IGF2BP2,RAB33A,SDCBP,HOXA7,WDR34,AKTIP
40,PDGFA,DYRK2,PDE3B,USP46,AGAP1,ITGAX,CR2,ST6GALNAC3,MYB,TNFRSF21,RAD54L,CCDC170
41,DAD1,CHMP7,EIF3H,NHSL2,PRSS35,XCL2,TSPOAP1.AS1,TBC1D8,CACNA1C.AS1,CEP128,BRCA1,AL133453.1
42,SPRED2,PRL,EIF3L,TIPIN,MATK,CTBP2,JCAD,CHGB,PAK2,LUNAR1,DTL,LYSMD2
43,ST6GAL1,KCNQ1,TXNIP,CLK1,ELK3,B3GAT1,SLC6A3,ZC3H7A,MCCC2,SERTAD4,FANCI,PAN3
44,MARCKSL1,TTN,COMMD6,NPDC1,JAML,CCL3,CLDND1,RAB30,CHRNA2,SYK,CDC6,AL135790.1
45,BCL11B,ABLIM1,RPS26,FXYD5,CCR5,NMUR1,GAS7,FBLN7,PTPN7,SLC43A2,MCM4,IL24
46,MAP4K4,RGS10,THEM4,RGS1,SESN1,GNLY,BAZ2B,PKIA,CAV1,AC002454.1,CDC45,NXF1
47,KAZN,ERMP1,CACNA1I,TAGLN2,DDIT4,MTSS1,PRDM16,SDC4,AC124798.1,PEX5L,GMNN,AL121985.1
48,GSTA4,IFI44L,PABPC4,VAMP8,NEO1,KLRC2,EEPD1,FAM198A,CRIM1,ST3GAL6,CENPW,AC092069.1
49,CUBN,SIRPG,EEF2,FXYD7,CANX,PALLD,DPF3,PHKB,ADAM10,ARL11,FEN1,CACNA1A
50,ATP6V0A1,SPINK2,EPHA1.AS1,P2RY10,SCRN1,LGR6,IQCA1,CD83,SCD,NINL,TOP2A,HNRNPA1P48
51,MAD1L1,CD8B,MMP28,ADAM19,SPTSSB,MXRA7,CMIP,REL,BCAT1,JAM3,BRCA2,AL445686.2
52,RASGRP1,PLEKHF1,NOG,SOCS3,TLE1,GOLM1,MLLT11,EPSTI1,HIVEP3,AC084033.3,ATAD2,NOMO1
53,ARID1A,PGGHG,FKBP5,DUSP5,IL4I1,CCL4L2,CHRNA5,VSIG4,EGR2,AC245060.5,SGO1,AC005944.1
54,TPM2,LNPEP,RNF138,LPAR6,DPP4,HLA.DQA1,EFHC1,NFKB2,MAOB,RFX8,PCNA,AL138478.1
55,MARCKS,AUTS2,AC243960.1,TIMP1,PLD1,RAP2A,DUSP6,TFRC,AK6,LETM1,NEIL3,DEGS2
56,USP49,ZNF496,PIK3IP1,CSRNP1,IL23R,FCRL3,MTCL1,TNFRSF4,PDCD1,CNPY3,CEP55,AC145285.6
57,PIK3C2B,CEP41,REG4,CSNK2A3,RBM24,KIR2DL3,SPIB,COL9A2,AC022239.1,REPIN1,ORC1,KCNQ1OT1
58,DZIP3,KIAA1671,RPLP2,ABHD15.AS1,GLRX,HLA.DPA1,STXBP1,VDR,NUCB2,PRUNE2,E2F7,CHMP1B.AS1
59,AC013264.1,SOX12,RGMB,TNFAIP3,B3GALT2,RASSF4,IL10,GADD45G,ALDH1A2,TNFSF4,POLQ,PDE4B
60,PTGFRN,PRKAR1B,TBXA2R,RILPL2,LATS2,TIGIT,AC079610.2,TNFRSF9,PHEX,FRMD4A,KIF11,AL731577.1
61,LAT,CD7,EEF1B2,AP001496.2,KIF5C,SYT11,SMIM24,PNOC,SPTBN2,ADA,CDK1,AC008440.2
62,HNRNPA2B1,ACAP1,RPS15,LINC01641,CXCR6,HOXC4,AC136475.9,DNAH8,SOCS1,IGLL1,POLE2,TMEM243
63,ZBTB18,OLFM2,XIST,PTGER4,LST1,CCL4,GCNA,GNB4,PRDX1,NOTCH1,CHAF1A,FARP1
64,MSL3,SARDH,RPS16,GALM,TMEM91,TPST2,SPRY2,BCL2L11,CD200,AL357060.1,CCNE2,TMA7
65,VIPR2,ULK2,RASA3,LMNTD1,RUNX2,KLRC3,CNR2,LINC01281,BZW1,UGP2,XRCC2,HNRNPA1L2
66,ASAP1,CTSD,EIF3E,KMT2E.AS1,WHRN,ARPC5L,MGST2,BASP1,PARK7,BMF,ESCO2,HMGA2
67,PROSER2,DENND2D,ATXN8OS,HIPK1.AS1,GALC,ITGAL,SLC25A33,PHC1,RHOBTB2,H1F0,RRM1,AC001226.2
68,AXIN2,MGAT5,UBA52,AC026979.2,GPR65,ADGRG5,IKZF2,HVCN1,POU2AF1,TMEM131L,ORC6,AC135457.1
69,CD247,LCNL1,ADTRP,HIST1H1C,ELOVL6,FGL2,WWC1,BANK1,LIPC,HES4,NUF2,HPCAL1
70,ACTR3,HLA.DOA,NPM1,CYCS,MKNK1,PLEK,FAM160B1,IL2RA,TRMT6,TP53INP1,RFC3,SLC2A3
71,ARPC5,PMEPA1,FCER1G,LINC01116,CERK,LPCAT1,BEND4,SLC37A2,FKBP4,CMTM8,KIFC1,SF3A1
72,DR1,PRAG1,C1orf162,ATF3,GYG1,SLCO4C1,ANKRD27,SPATS2L,TIAM1,MNS1,C2orf48,AC009264.1
73,SON,TSPAN14,RACK1,ANKRD18A,CYP4F22,IFNG,SORT1,LCOR,PGM2L1,SLC29A1,AC007240.1,CREM
74,H3F3A,PIK3CD,RPL11,AC087623.2,EFCAB14,PLCG2,TTYH3,MAGEH1,LRFN4,MAPKAPK3,SPC25,AC018362.1
75,NFRKB,AL158151.1,RSL1D1,ST6GALNAC1,LPCAT4,EFHD2,HDGFL3,INPP5F,B3GALNT1,ZNF385C,MCM2,SOX11
76,SLC6A20,ETHE1,RPS3A,DUSP1,TRIQK,MLC1,HPGDS,ITIH5,HSP90AA1,AC069503.1,HELLS,SLC4A1
77,TLDC1,FCGBP,RPL10A,C10orf91,CDC42EP3,CD300A,PXDN,MX1,ATP1A3,ARRDC4,KIF18B,LNX1
78,NEDD4,LBH,SLC40A1,PDE4B,PLCB1,ASCL2,COX10,OAS1,BEST3,HOXA9,MELK,DONSON
79,NUP50,SIAH3,RPS5,NDRG1,SETD7,MIAT,DCP2,P2RY1,AHI1,VAT1,TTK,ATP5F1B
80,SAMD1,GZMM,AC007342.5,RHOB,LINC02084,USP28,CHST2,HAAO,MAP2K3,SLC23A1,SKA1,PRPS1
81,MLLT6,CD8A,CARS,C6orf99,ABCA2,LINC02384,LINC01163,LAMB1,DGKH,RAG1,CIT,AL133415.1
82,RCN3,OCIAD2,CD55,ZFP36,AGO4,PTPN18,CCDC136,IFI16,NLK,XG,NUSAP1,SNRK.AS1
83,HP1BP3,MICAL2,NACA,EPHA4,ARL14EP,AOAH,PITPNC1,HTR4,BTBD11,C17orf67,KNL1,NDUFB8
84,EVL,RASGEF1B,CHRM3.AS2,HNRNPA1L2,MYBL1,SGCD,RAI1,PELI1,POMP,CDK6,SMC2,NDUFV2
85,SDCCAG8,CCND2,IPCEF1,VMP1,CLINT1,F2R,OGT,SMC4,PFDN6,ADGRE2,GINS2,AC015849.3
86,NTRK3,PRMT2,RPL13,LINC01004,RORA,C11orf21,PDLIM1,SWAP70,ACADVL,NID2,DMC1,AC018557.1
87,VAPA,DRAP1,RPL18,AC245014.3,FAM43A,C12orf75,KIF3A,CCL20,PPFIBP1,PRPS2,CENPF,Z82206.1
88,GATA3,COTL1,RPL27,NBPF15,KIT,GK5,SORD,CTSL,CALM2,HRK,ATAD5,CITED2
89,FUS,PYGB,RPL15,PMAIP1,PRDM1,EPB41L4A,DMD,CLNK,ELF1,GSTM5,BRIP1,SDHB
90,ZMIZ1,LIMS2,MTRNR2L12,UBC,LINC002481,ST8SIA6,DOK3,MIR155HG,NFKBID,PAFAH2,DHFR,SPCS1
91,CDH2,AC005332.5,TXK,AC073082.1,USP13,TYROBP,CERKL,PDE7B,SLC3A2,UCK2,E2F8,NBPF26
92,KIAA0895L,IL27RA,RPL7,GADD45B,GPRIN3,SERPINB6,INSIG1,FAM135A,SPAG9,FXYD2,TPX2,HNRNPF
93,RANBP10,KDM7A,ATP1A1,AGFG2,OGFRL1,S1PR5,SRGAP3,EPHX2,PARVG,PPP1R1C,WEE1,CHCHD2
94,AC080038.1,JAK3,ANAPC16,TSPAN18,PARP8,TSPAN2,PYM1,IRF8,GADD45A,SMIM3,GTSE1,LCK
95,EVI2A,PSD,RPS25,INPP4B,COL5A1,LAIR2,FES,RGS16,IGHD,BIVM,ASPM,NPIPA1
96,VHL,ZFP36L1,EIF3K,AFAP1,ARF1,TGFBR3,FAM30A,AC244021.1,TNFRSF9,AC010719.1,HMGN5,SYNC
97,USP15,UBTF,RPSA,IRF1,ZBTB16,RASSF1,SEMA4D,TSPAN5,PER2,TTC7A,DSN1,AC003681.1
98,CACNB3,NKD1,RPS23,PSTPIP1,ALOX5AP,MYO6,CYBRD1,OAS2,BICDL1,KREMEN1,E2F1,USP3.AS1
99,GPR174,DBH,RPS7,PIK3R1,ICA1L,TMEM181,GSN,SIAH2,SPSB1,ETV6,KIF2C,UBE2B
100,TGOLN2,SKIL,FAU,PLP2,IL18RAP,TTC16,AC093673.1,TNFRSF25,BCL2L11,HOXA10,CENPN,JOSD1
101,SPRY2,STAT1,EBLN3P,SENP3,SYTL2,CD244,HBEGF,MYO5C,NPTX2,DSCAML1,GINS4,LINC02227
102,MAST4,OPN3,TPP2,MID1IP1,EAF1,FCGR2A,RNF130,IFIT5,AQP3,FXYD6,TEDC2,SMIM27
103,ZNF774,CHFR,PPP1R2,AL162231.2,SPTY2D1,FRMPD3,NDN,DGKH,USP11,RCAN1,HMGB3,COL6A3
104,SSBP2,PAQR8,FCMR,OSM,SKAP2,GSAP,USP6NL,BCL3,SLC7A1,MPP1,TROAP,SNRK
105,LINC00632,ORMDL3,SMAP2,AL627171.1,TPBG,SLC15A4,SMPD3,ALDH4A1,JARID2,PPP2R3B,CDCA2,COMMD1
106,ACTB,CLIC3,RPS4X,AL021155.2,RARG,PLA2G16,MYH10,FAM110A,MAGEH1,MRPL57,MCM3,PMPCB
107,CSNK1A1,FOXO1,RPL38,NR4A2,ATF7IP2,RGS9,GAPT,SERPINB9,NAB2,ZNF423,TICRR,TMEM200B
108,ZNF467,A1BG,RPL19,ANKRD34A,TANC2,SYNE1,STARD4.AS1,PPP1R12B,SFXN1,TBCD,CENPM,MPV17
109,PHF20L1,BMP2K,RPS3,AC007384.1,IL12RB1,TMCC3,ARHGAP42,PTK2,CHSY1,TFDP2,ACOT7,SEMA3E
110,SV2A,JUP,FBL,TOB1,KLRG1,APMAP,ETV5,SEMA6A,ATP13A3,PIK3R6,MND1,AC046130.1
111,HDAC7,ZC3H3,FOXP1,DAPP1,CFAP97,AL035701.1,TMEM38A,ZC3H12D,HOXB8,AC016205.1,KIF4A,TSIX
112,SOX4,ZNF276,PCSK1N,FTH1,CTSH,SAMD3,PCAT18,XAF1,GRK3,AC009570.1,NEK2,MAP2K1
113,SERPINE2,TSC2,RPL22,RPS4Y1,AC010175.1,AGTPBP1,PARP1,NEBL,MAST4,ARL5C,HJURP,AC015674.1
114,CEP170,TMIGD2,RPS2,C16orf54,GZMA,EFNA5,BCL2L2,SS18,CCDC88A,C17orf113,CCDC34,PDE11A
115,CD109,MPZL2,LINC02446,CEACAM1,GFPT2,SLC9A3R1,LINC01222,AC133644.2,PSENEN,MSI2,AURKB,ATP6V1C2
116,STOX1,GAL3ST4,C2orf40,TENT5C,SNHG22,ZNF600,BCL6,CD79B,PARL,ETS2,PRR11,ANKS1B
117,TMEM154,ADAMTS17,C16orf74,ANTXR2,PRNP,DRAXIN,TRIM59,MYO7A,EWSR1,RNASEH2B,HIST1H2BH,AC114760.2
118,AC008105.1,CD3G,RPL5,CARD16,EHD1,LDLR,ZNF793,MAGED2,C2CD4B,ERVFRD.1,MCM5,PPP1CB
119,YLPM1,AGRN,HAPLN3,HIST1H2AE,MAN1A2,NUAK1,UACA,NCF1,PTPN6,ASPDH,RBBP8,TMEM59
120,MRPL52,LINC01550,RCAN3,CRBN,GCHFR,TRG.AS1,TRGC2,CALD1,PHF21B,PEX5,DEPDC1,AC013394.1
121,AMPH,ANO8,AC009041.2,PPP1CA,CCDC107,MCTP2,AL035681.1,PMEPA1,AC004585.1,CCDC138,CTNNAL1,KSR2
122,IKZF1,SLA2,RPS14,TUBA4A,TSPAN15,APOBEC3G,AL109914.1,IRF7,CLPTM1L,PITPNM2,CKS2,TRAPPC2B
123,GSPT2,PRKACB,RPL3,AC133644.2,MMP24OS,MIR4435.2HG,ATP6V0A2,STAM,NUP88,HHIP,DLGAP5,LINC02067
124,ATP6V0E2,KCNMB4,PABPC1,GSTK1,CD81,STYK1,ZDHHC24,NFAT5,NKD2,ABHD12B,FBXO43,AC025423.4
125,CD3D,EPOP,EPB41L4A.AS1,CYSLTR1,CTSW,RCAN2,RBM5.AS1,CCRL2,CD8A,EDA2R,CKAP2L,VDAC2
126,CAMK4,MPIG6B,MINDY1,AC079305.1,LINGO4,CD63,MIR181A1HG,CAMK1,ATP8B3,ABCC1,H2AFZ,WASHC2A
127,ZNF215,PPP1R3E,SPIN3,ANXA1,FEZ1,AL158071.3,AC004824.1,PTPRJ,COX20,HES1,TMEM97,SNHG12
128,BRK1,ADRB1,HSBP1L1,MINK1,GTF3C1,LINC02086,RHOBTB1,LRRC8B,GBE1,PLIN3,ANLN,AC093484.3
129,THEMIS,LSP1,RPS13,TNFSF13B,CAMK2N1,OSBPL5,MAGEF1,KLHL34,XCL1,PXMP2,CDCA8,MRFAP1
130,GNAS,TTC24,HPCAL4,BCL2A1,GBP5,DGKQ,NSF,IFIT1,TAF9,ANKRD1,KIF14,AL928654.2
131,ETS1,MXD4,KRT72,PPIB,B3GNT8,TBCB,ANKRD10,UBE2F,IDH2,KIAA1257,CENPH,AC008264.2
132,GPC3,DTX3,SYDE2,DNAJB1,RHOC,DTHD1,VPS26B,ADAR,FDX1,GRASP,MAD2L1,AC109587.1
133,TPM4,AOAH,KLF7,ISM1,AL355581.1,CEP126,ZFP69,IFI6,EMID1,MELTF.AS1,RFC4,IAH1
134,SPNS1,SPOCK2,RPL14,TNFSF10,CREB3L2,SLC2A1,ITGA4,MTR,CAMTA1,GALNT7,DEPDC1B,AL358333.3
135,CABIN1,ST3GAL5,IL4R,PLK2,HCST,LLGL2,ABHD17B,ATP2C1,GFOD1,BCL7A,CHAF1B,TAF15
136,DENR,RSAD2,CSGALNACT1,CAPNS1,MTRNR2L12,BFSP1,ALDH2,SAMD9,HIPK1,SPSB4,NCAPG2,PITHD1
137,DDX5,MTUS1,LINC00565,AP002884.1,BX890604.2,TRGC2,ZBTB1,SEC14L1,SERPINB9,PON1,LMNB1,AC090971.1
138,SGIP1,CCDC141,ST13,CRIP2,NFKBIA,RAP1GAP2,PHLPP1,IFI44L,ROMO1,LINC00506,TMSB15A,HIST2H2BE
139,MEX3B,ARMH1,RPL21,AC020916.1,SIPA1L2,OASL,STAU2,PEAK1,ATP5MC3,NLGN4X,CIP2A,SOCS3
140,PIK3CA,CERS6,UXS1,FAS,VSIR,TSHZ3,AC004889.1,TBC1D4,SOD1,PTPN2,BRI3BP,TOMM20
141,VAV1,PNPO,SRSF5,SRSF3,UFM1,TFCP2L1,SLC25A25,KIAA1614,ATP1B3,APLN,WDR76,UVRAG
142,IQGAP1,NUAK2,RPS28,ID1,HELZ,PARP15,GPR15,AJ009632.2,CCT2,PELI2,FBXO5,UBL5
143,TPCN1,PSD4,SLC22A17,AL592183.1,TLCD2,IL7,TM6SF1,HGF,PITPNM1,CMTM2,HMMR,RGCC
144,WNT5A,TBC1D10C,CA6,FHL1,RPS6KA3,ATP2B4,ZNF667.AS1,ATOX1,CEP112,SULT1C4,TUBA1B,NFE2L2
145,SEPT1,ZNF827,RPS12,ARL4A,PTGDR,NKG7,RTN4,EVI5,CDC123,CLIP3,TIMELESS,DDIT4.AS1
146,ARHGAP32,FMNL3,GRAMD1A,SPINT1,IFNGR1,SLAMF6,AFAP1L2,L1CAM,CD72,PCDH9,DNAJC9,MBD1
147,SLC35E1,CAPG,TSPAN32,EIF4A2,ABCB1,RASGEF1A,MIB1,ARHGAP19,AC116351.1,AC022167.3,BUB1,NBPF9
148,GNA14,KDM2A,RPS6,ACE,EDEM2,CHST12,SNAP47,ISG15,PDE4A,SOCS2,RMI1,HSPA4L
149,TECPR1,OXNAD1,RPS11,AL136115.2,PLXDC2,ENPP5,SLC12A6,PLEKHA5,DNAJC2,CBFA2T3,CKS1B,TF
